"feature","J_XYL_F_0001_01","J_XYL_F_0002_01","J_XYL_F_0003_01","J_XYL_F_0004_01","J_XYL_F_0005_01","J_XYL_F_0006_01","J_XYL_F_0010_01","J_XYL_F_0012_01","J_XYL_F_0013_01","J_XYL_F_0015_01","J_XYL_F_0016_01","J_XYL_F_0018_01","J_XYL_F_0020_01","J_XYL_F_0025_01","J_XYL_F_0031_01","J_XYL_F_0032_01","J_XYL_F_0034_01","J_XYL_F_0036_01","J_XYL_F_0043_01","J_XYL_F_0044_01","J_XYL_F_0045_01","J_XYL_F_0046_01","J_XYL_F_0047_01","J_XYL_F_0048_01","J_XYL_F_0050_01","J_XYL_F_0051_01","J_XYL_F_0053_01","J_XYL_F_0057_01","J_XYL_F_0058_01","J_XYL_F_0059_01","J_XYL_F_0060_01","J_XYL_F_0061_01","J_XYL_F_0062_01","J_XYL_F_0064_01","J_XYL_F_0065_01","J_XYL_F_0066_01","K_XYL_F_0001_01","K_XYL_F_0002_01","K_XYL_F_0003_01","K_XYL_F_0004_01","K_XYL_F_0005_01","K_XYL_F_0007_01","K_XYL_F_0008_01","K_XYL_F_0009_01","K_XYL_F_0011_01","K_XYL_F_0012_01","K_XYL_F_0013_01","K_XYL_F_0017_01","K_XYL_F_0018_01","K_XYL_F_0022_01","K_XYL_F_0028_01","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0035_01","K_XYL_F_0036_01","K_XYL_F_0037_01","K_XYL_F_0038_01","K_XYL_F_0039_01","K_XYL_F_0042_01","K_XYL_F_0043_01","K_XYL_F_0044_01","K_XYL_F_0045_01","K_XYL_F_0046_01","K_XYL_F_0047_01","K_XYL_F_0048_01"
"s__copri",-0.356513517560743,0.545614999444939,-0.334105794032616,0.723450412223547,1.1428120259647,-1.2191869075845,1.34583604198767,1.82220959794565,1.31819954569,0.541465680738009,-0.185688994105154,0.826439631350468,0.936940940120072,-0.0833433862391491,-0.911302040215967,-2.11114744617389,-0.828499804463419,0.292213708615599,-0.192734872946976,0.389376391871889,-0.261660234042127,1.02293299699324,-0.274216766914475,-0.499379271303354,-0.694162957567296,-0.526251674443591,1.87053772373917,0.0366523747346183,-1.96878719268146,-0.915850687729117,-1.55845090570915,-0.315331131203937,0.420419465591391,-0.575123171750422,1.80881754160111,-0.99930656538064,-0.571888331189249,-1.34155263816417,-2.53588352330557,-0.405902963319712,-0.271892268854419,-0.253284725119144,1.353066752707,0.450746825760853,-0.283769693877964,0.765203375570035,0.162416687781149,-0.573088299545551,-0.503593149743343,-1.63770146612419,-1.96982445321097,-2.26918155961477,0.662147860471517,-0.09768576637447,-0.884482191706708,2.43030704372612,-1.67284664853766,-0.35933498267524,1.82760878198191,-0.275749775139601,0.338409991517662,3.30175505995939,3.65665485684245,-0.264440555137526,0.990909998758084
"s__muciniphila",-0.350075220962083,0.191724527649955,-0.238473301283136,-0.478869639727454,0.26248116072063,-0.233833749869615,1.2100443101851,0.102932049226808,-0.53959817983254,-0.555451197594782,0.305810261975693,1.05499817798568,0.550418313684603,0.201662434265655,0.298579522757674,4.03623234201513,0.437910317086765,0.395962698394023,0.647404914104039,-0.924851536740458,-0.477712653882579,0.349748306819605,0.314141876903118,-0.255797610457527,-0.224096114776423,-2.47871658394086,0.139501424967169,-0.00882978462828704,-0.876194344680859,0.171480601114975,-0.537330077255518,-0.758824644225061,-0.53774180339802,-0.353548546232665,0.000228832030803941,-0.6319111944348,0.176632082888708,-0.249252588220833,0.810993625283079,-1.30743273822368,-0.695593426897931,0.17162497140088,-0.685833641078146,-1.49033565949062,0.0203801862654047,-0.272242320630027,-1.04654900620327,-0.142919392722018,0.353283468624136,-0.313234395534381,-0.281226822876226,0.0529063102147807,0.136535931068474,0.383316682151886,1.55428298685082,-0.0209053433319316,0.580158922706295,-0.139879724480518,0.411857943973081,-0.415228783350871,0.0854356168764389,1.68207457834019,-0.964251406773986,-0.256551648938484,1.65254770414399
"s__ovatus",0.0971414944369518,-0.139332984545638,-0.165063026004261,-0.437238101725449,-0.445041030762521,0.369860666321843,-0.144212387345877,-0.884527171344134,-0.60508260072232,-0.414965329464481,0.179335680133078,0.0254417658092161,-0.141356578631062,0.0748866678580044,0.532487275178109,2.03426168655606,0.453304783158569,0.0239526876644351,0.414813570478217,-0.531711715265808,0.107157225832248,-0.303107176890218,0.378083708254703,0.257711561348918,0.380602486870267,-0.339366813762787,-0.752465355952963,-0.357566241405353,0.601975579867455,0.424877465341773,0.642140888440826,-0.21595141621939,-0.325638892052806,0.206554501607468,-0.702511655547029,0.204124021812346,0.382955011347001,0.572657187527695,1.21427073145988,-0.168414596498005,-0.264029736482782,0.17722664231144,-0.696426071350858,-0.693662790837353,0.173502924730751,-0.408911850937856,-0.399899566765185,0.310470240962701,0.258229938365399,0.518493767008137,0.697160810686235,0.877465129588982,-0.356879268117724,0.135922023444366,0.752069060558687,-1.14494063523181,1.0662530200373,0.148489518641867,-0.769079991262497,0.0273433150220373,-0.197326040364422,-0.867170510831796,-1.70634600376929,-0.0307446632640188,-0.112252835307262
"s__fragilis",0.259823687372814,-0.317390878176071,0.554419139340822,0.106459206109179,-0.427001297487273,0.580375310185323,-1.24192000552427,-0.367235445242908,-0.14614519031549,0.247373959847274,-0.164264120163962,-0.995583694592341,-0.732547706454583,-0.0837034908382952,-0.028315701278895,-2.01180991599073,-0.030188612566196,-0.377748877658238,-0.558309709841673,0.624280551955865,0.203118363641657,-0.537658892831421,-0.353776933243895,0.141783498446158,0.132490364615437,1.54229656590477,-0.589507701444539,0.440004855657883,1.06504228820568,0.150342765983584,0.584413160495787,0.745408426138778,0.225184529690656,0.297183116164236,-0.566731263901632,0.723564480273184,-0.0787082395891104,0.419741487431111,0.276441893007266,0.905049976995031,0.755629484902344,-0.0699254032245494,-0.0159953300351905,0.93769604025102,0.000630061882087293,-0.020417543809989,0.670969757392093,0.102973184100652,-0.0191211933647112,0.751023060388791,0.781486972886578,0.701702865060211,-0.113696664297419,-0.200583271968,-0.6750445959197,-0.492752715796398,-0.176734955941281,0.138483223980196,-0.605709726207891,0.302303520404602,-0.0427818912422971,-2.02951787219293,-0.512086853812387,0.326356628617398,-1.1111367323742
"s__longicatena",0.418071909052996,-0.321699170214146,0.487854380243458,0.443427402083367,-0.434479804346406,0.493923235539904,-1.6299193276315,-0.271549967812007,0.358583445154997,0.579719386330182,-0.333769657103656,-1.37570875235214,-0.830241523326233,-0.206640046561705,-0.25815274194272,-4.31940162341288,-0.370082157799222,-0.518620541779892,-0.819167701059657,1.07733254957663,0.48992257364239,-0.564434020857626,-0.443027452761642,0.278426836633841,0.247160713187803,2.80934935055141,-0.420377985317071,0.244466090767933,1.26486281816626,-0.0603052599243245,0.736952665605304,1.00663914555915,0.553030078278988,0.439947739733245,-0.297124030009913,0.89020713187185,-0.186278428363676,0.419049533503697,-0.510959884831252,1.53057582872708,0.96184034255691,-0.176023888528377,0.54575306769903,1.69838634479038,-0.0172952136170917,0.210139460161598,1.19865067923851,0.16696932957774,-0.294955897306766,0.647371001532379,0.63664141012656,0.325251162527974,-0.167226660369871,-0.414853827107024,-1.6099293167119,-0.237389828052413,-0.566765951391819,0.184705778602842,-0.646909664714182,0.493413298679437,-0.0897097676069342,-2.42235875164623,0.511691110770766,0.379665377525805,-1.91462233354014
"s__longum",-0.0894356361828058,0.0297341113139099,-0.114341812164221,-0.25161174680217,-0.0171952912796558,0.0088492834604741,0.353452941120866,-0.167961197603736,-0.308558361680185,-0.271116958323744,0.138140607317018,0.342399006357834,0.14387610163885,0.0811703462726364,0.21596110758912,1.7471875764524,0.242123290116948,0.131796851303346,0.300882996227109,-0.415612872254427,-0.127514524022002,0.043017141201375,0.186417387271292,-0.0227424059196432,0.0153054104988426,-0.866472024625325,-0.125843153690831,-0.0851052321374323,-0.143011584689281,0.150791037829587,-0.0254187938116068,-0.29133119248434,-0.245120503281648,-0.0657066104565246,-0.158683771279881,-0.155411457198281,0.143353113291268,0.0504565542458388,0.533032826149068,-0.454810510028836,-0.282245516326773,0.0949139200817026,-0.375994000502389,-0.632449784352124,0.0459588364900392,-0.179377302551537,-0.424294663838589,0.0251432664300289,0.170855995413856,0.0171542721078336,0.0679144501177096,0.2150831106225,-0.0377102990458605,0.152910953101723,0.665483235590021,-0.26625540969202,0.427069723221956,-0.0108402584359386,-0.0432236393712462,-0.126073632456286,-0.0177394268347013,0.340185094021605,-0.693166691076801,-0.0890277664985634,0.500783484042647
"s__adolescentis",-0.425624931363639,0.56425719812909,-0.229791399805839,0.719706066399201,1.23722419843026,-1.24838388421102,1.45184078652364,1.99870764843376,1.27990614807744,0.542467754508969,-0.180001328158537,0.899861388503974,0.9650026037189,-0.062253836777918,-0.968412105785137,-1.91088987988148,-0.823096613595327,0.314991817442287,-0.240394845548431,0.399900850086514,-0.385534316842038,1.07974887193203,-0.363833732397574,-0.610654931307744,-0.830514015370822,-0.815817097694061,1.9700060332015,0.233695746545669,-2.13711558982304,-0.940162415158099,-1.7501574800541,-0.308973335261123,0.39788805539711,-0.665202764368439,1.85850758621483,-1.07068632023064,-0.638437793858298,-1.46737784519012,-2.54515955629798,-0.53950856881078,-0.231309496522684,-0.264965674055254,1.32588491710436,0.408307185202252,-0.323240060334656,0.785992499917763,0.112599770894335,-0.67349383654174,-0.469626342862302,-1.68922024004332,-2.05152045992328,-2.31666187863321,0.770301863071482,-0.065838918507357,-0.775242527541304,2.60805766769914,-1.82129992774012,-0.40758347761099,2.0098189048427,-0.335946480140099,0.4060222313169,3.55241184352367,3.6930454113933,-0.255638873214389,1.25341773295184
"s__D168",0.127098367558843,-0.0742181997128401,-0.0842300705684087,-0.026779704180621,-0.213262659103277,0.141066879246162,-0.291990630068858,-0.354109021274784,-0.0291595386124061,-0.0142500783820002,-0.00820702223914287,-0.205336319728885,-0.134327498852552,-0.0288191390880253,0.122248048828041,-0.281768630475946,0.0351133961772041,-0.0700583228068598,0.0372305695205405,0.00560091440875975,0.190735033838789,-0.164332428828288,0.110210535488659,0.182814049218151,0.225737245146617,0.510178390050457,-0.269252282617246,-0.233911302946077,0.396158283709412,0.0906828852535312,0.374144656432331,0.0565174861616321,0.0218698826735263,0.168876063066065,-0.198719871006811,0.194309583600115,0.113360918756765,0.26490182208651,0.165381241523768,0.256577995850761,0.00963938479674079,0.0244345539616608,-0.0373034883965884,0.0925282975704442,0.0673303478633528,-0.0696086269404534,0.100448326894843,0.169880030896145,-0.0192461920764114,0.203897909978534,0.263454165721731,0.229069129575797,-0.185560976756444,-0.0498084502308083,-0.140702205933434,-0.396304410455494,0.273988228663794,0.0918544452732416,-0.377330953630254,0.113751853924297,-0.110147859408929,-0.638278584424495,-0.276203646902907,0.0235355727700336,-0.471398380838011
"s__parainfluenzae",0.161164142017848,-0.192645515709159,0.126174191958246,-0.151956811031302,-0.388351215953572,0.402642516755962,-0.581552743856515,-0.577494959878885,-0.320604088162669,-0.086763192567527,0.0133610260620558,-0.400868540531845,-0.36111146495395,-0.0042768364322244,0.238102075496035,0.0645454633039582,0.189220073940108,-0.144676687921066,-0.0278168523413267,0.00954532187025763,0.15421167636176,-0.361447596870138,0.0459697327052512,0.194376339946519,0.250659438105837,0.523051465213589,-0.59146477062123,-0.0243783620513707,0.728089780334565,0.254633536269026,0.559044420075599,0.199689514710039,-0.0509249579630095,0.229203346072582,-0.549896053250041,0.394408180866684,0.1531714714519,0.448851218603317,0.654278556079885,0.313229300367962,0.175304069734156,0.053610248343162,-0.311729036839012,0.073121567312574,0.0857810279350659,-0.194948972031737,0.0993591306549375,0.200222081824311,0.100706278226843,0.541646001278905,0.639734705646623,0.68139880401489,-0.226803622090044,-0.0258606072707973,0.0440815634151498,-0.744085838396407,0.435858263091014,0.13140915247108,-0.622268567709758,0.14512907621649,-0.118989402381584,-1.2481180172174,-0.973517755198725,0.114681757657524,-0.547114047160415
"s__viridiflava",-0.0166732510199943,-0.0195985508531354,0.0618976576378633,-0.0514945928737371,-0.0185878000762563,0.0527674788999725,-0.0085850590771246,-0.0234511375277648,-0.102191026362731,-0.0402506241637944,0.0185143520777309,0.00388220908776059,-0.0315924036882082,0.0177558863854798,0.0318013019380223,0.281122508761126,0.0575557423667147,0.000340751290790229,0.000876636889038426,-0.0336566491348646,-0.0489343028753719,-0.0270882881772626,-0.0190826150902495,-0.02578575745994,-0.02532758679548,-0.142919884499882,-0.0601984817014397,0.0862754124966392,0.022113626371996,0.0445931740964571,-0.00605082368512426,0.00778007547956851,-0.0435726636449306,-0.013613179077723,-0.0814395444532079,0.014293466073073,0.0059725922047394,0.016104954104775,0.155383922579814,-0.0594283482805215,0.0217624269748138,0.0122602425188039,-0.101736264532391,-0.0707859301470642,-0.00110091210902009,-0.0392818030303732,-0.0498592057300167,-0.0147146708074782,0.0502815405194332,0.0653701865427775,0.0714203729020944,0.109764733776371,0.0129760695222683,0.0265638542781403,0.126791409033158,-0.0599227407544814,0.0393353627558721,-0.00349055351450274,-0.0158342052757776,-0.0184316765311355,0.0124464197580244,-0.0476109624959445,-0.210157610433732,0.0146736555170097,0.089771083040334
