"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Mir3470b","Group_safe",0.718253866923254,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.68587909374007,-0.543973813292456
"Mir3471-1","Group_safe",0.355911710504142,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.296037749124877,-1.75614694267213
"Mir3473c","Group_safe",0.782741818560439,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.846052707093952,-0.241180552234276
"Mir3473e","Group_safe",0.759867607302681,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.68711901629838,0.754561750843594
"Mir34c","Group_safe",0.997235943702806,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.99409159377902,-0.00854930969645468
"Mir365-2","Group_safe",0.73662861462349,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.854811429213573,-0.226321897278605
"Mir374b","Group_safe",0.357849149435854,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",4.31455413321059,2.10921147874569
"Mir378b","Group_safe",0.752014383304129,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.651305528979945,-0.618593621018169
"Mir3960","Group_safe",0.341585835481246,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.32250069432948,0.403268479772523
"Mir421","Group_safe",0.540934842013966,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.65415680375533,-0.612291598483324
"Mir425","Group_safe",0.534090862032288,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.772136293469535,-0.373072567915328
"Mir450b","Group_safe",0.781940214650771,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.611919212260366,-0.708586899101468
"Mir466i","Group_safe",0.795737563226773,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.808637402590848,-0.306435159538485
"Mir467c","Group_safe",0.899886500392875,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.04793376821973,0.067547538172653
"Mir483","Group_safe",0.940611914793997,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.08290527556121,0.114907052313873
"Mir491","Group_safe",0.602892413194586,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.436794290042853,-1.19497409801765
"Mir5098","Group_safe",0.50352587406992,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.602785257064579,-0.730283962987994
"Mir5100","Group_safe",0.500067367820145,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.452607590484208,-1.14366731527129
"Mir5119","Group_safe",0.7237873257136,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.769259985417465,-0.378456829232333
"Mir5133","Group_safe",0.357994179396423,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.74207455588148,-0.430363953867459
"Mir5620","Group_safe",0.830825917593695,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.33669851648948,0.418674111794947
"Mir568","Group_safe",0.820346037643828,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.938791962702009,-0.0911226043466762
"Mir615","Group_safe",0.82565812425534,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.758373899225337,-0.399018782689892
"Mir6358","Group_safe",0.373912565564429,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.448677293047187,-1.15624992187634
"Mir6362","Group_safe",0.849509561765939,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.286451914425,0.363397532379056
"Mir6385","Group_safe",0.55524792029928,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.773689709891375,-0.37017300882169
"Mir6386","Group_safe",0.853066867086334,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.09575576675776,0.131926271516851
"Mir6395","Group_safe",0.682243621959764,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.665889833362752,-0.586644581266468
"Mir6403","Group_safe",0.511815085629552,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.49974048005647,0.584712873702444
"Mir6516","Group_safe",0.694463453460844,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.13835673709734,0.186952738831263
